gas_plant;regulator_politician;primary_responsibility
ethanol;prosecution;tax_authority
lignocellulosic;manage_care_team;contractual_framework
pulp_paper;union_issue;capital_standard
flammable;institutionalize;tax_expert
vibration;former_employee;steer_committee
emission_control;community_leader;draft_legislation
heating_cooling;hypersensitivity_reaction;communication
infrastructural;government_organization;parliament
burn_coal;investigator_study;governance_standpoint
energy_savings;health_information_management;statute
renewable_power;multi-district;court
potable;claim_department;approval_procedure
coal-fired_generation;care_management_program;receive_letter
fracking;investigator;ceo_chairman
coal_nuclear;criminal_proceedings;opinion
dispatch;back-and-forth;task_force
treatment_plant;litigation_process;doctrine
fossil;post-marketing_requirement;investment_agreement
desal;legal_proceedings;prime_minister
transportation_system;subsidiarization;tax_adviser
powerplant;institutionalization;fine_penalty
electricity_gas;beauty_advisor;regulatory_environment
humidity;process_management;sifi
phosphorous;diabetes_hypertension;society
carbon-free;dear_doctor_letter;coordination
fuel_rod;telecom_act;board_structure
incinerate;management_employee;illegality
cellulose;labor_practice;strategical
milling;contract_review;ssm
air_conditioning;rapporteur/co-rapporteur;ruling
pesticide;program_review;stewardship
power_consumption;education_effort;
catalytic;pharmacy_director;antitrust
generation_capacity;non-infringement;assure
tailing_pond;temp_staff;corruption
substation;finance_change;insurance_department
energy_sector;political_leadership;appoint
energy_mix;district_office;standard_body
sulfuric_acid;remuneration_package;dividend_policy
hsfo;counterclaim;convene
coal-fired_plant;wage_negotiation;nominee
electrostatic;rack_audits;constitutional
cool_tower;draft_guidance;risk_assessment
transportation_sector;undersecretary;quality_standard
animal_fat;litigation_claim;comply_law
spend_fuel_pool;inappropriateness;reverse_stock_split
sugar_cane;management_close;management_oversight
filtration;shareholder_feedback;judgment
industrial_application;intracerebral;monitoring
oxidize;software_initiative;bureau
import_export;cber;oblige
agricultural;investigative;credit_approval
oil-fired;case_management_program;accreditor
water_disposal;fee_disclosure;general_assembly
water_business;distributor_activity;enforce
fertilizer_plant;cooperate_fully;fiscal_intermediary
hydrocracking;rapporteur_co-rapporteur;resignation
solar;price-fixing;legislation
water_scarcity;telecommunications_sector;consultation_period
energy_project;philanthropy;kyc
coal_burn;employee_development;dividend_distribution
tar_sand;community_development;propose_settlement
moisture;;insurance_regulator
freshwater;;former_ceo
gas_fire;;subpoena
c02;;fiscal_regime
chemical_application;;rule_game
waste_business;;agenda
eskom;;judicial
material_handling;;strict_rule
efw;;plaintiff
natural_resource;;resolution_agreement
chemical_petrochemical;;banking_regulator
nutrient;;claim_process
trucking_cost;;compliant
sewage_treatment_plant;;tax_inspector
desalination;;heidelbergcement
petrochem;;solvency_level
energy_market;;safety_standard
infrastructure_project;;outside_adviser
resource_adequacy;;security_law
oil_and_gas_business;;quality_metric
forestry;;governance_committee
gas_supplies;;delegate
power_demand;;policy_maker
fuel_pool;;remediation
water_shortage;;government_review
extraction;;concurrence
crossing;;compliance_review
oil_refinery;;interpretation
logistics_cost;;quality_control
tailing_dam;;draft_law
co-generation;;legal_procedure
tailing_facility;;requirement
power_segment;;mining_law
mercury;;risk_management_program
river_system;;vice_minister
water-based;;state_law
sulfur_content;;accredit
water_purification;;department
steel;;competition_authority
metallic;;legal_compliance
generation_project;;accreditation
coal_fire;;compliance_organization
coal_coke;;governmental
impurity;;condone
petroleum-based;;criminal
pgm;;negotiation
gas-fired_power_plant;;humanitarian
energy_solution;;reform
mine_site;;government_rule
import_coal;;petition
lng_activity;;recommendation_board
carbon_sequestration;;remuneration_shareholder
dirtier;;bureaucracy
stationary;;chairman
environmental_remediation;;governor_office
acid_gas;;arbiter
starch;;constructive_dialogue
corrosion;;chairman_board
gas_electricity;;compliance_policy
conveyor;;fully_compliant
magnesium;;compliance_team
tube_maker;;delegated
high-pressure;;various_stakeholder
infrastructure_sector;;national_discretion
petcoke;;manager
cooling_tower;;resolution_regime
water_filtration;;infringement
bio-based;;dodd-frank
petrochemical_business;;opposition
surfactant;;regulatory_affair
fuel_electricity;;consumer_protection
combust;;shareholder_return_policy
lng_export;;appropriateness
energy_performance;;three-member
utility_sector;;tax_claim
air_emission;;aneel
gas_distribution;;adherence
impoundment;;ceo_cfo
coke;;profession
carbon_dioxide_emission;;non-executive_director
spent;;debate
hydrotreating;;succession_planning
sea_water;;anti-monopoly
battery_storage;;enforcement
brackish;;civil_servant
co-gen;;administration
chemical_energy;;social_responsibility
air_act;;expert
storage_tank;;regulatorily
mass_transit;;duty
waste_facility;;democratic
power_transmission;;management_approach
sugar-based;;court_appeal
isotope;;legislature
chemicals;;government_support
hydrologic;;advamed
captive_power_plant;;cfpb
chemical_side;;dol
hvac;;hhs
chemical_product;;nonexecutive
virgin_fiber;;court_level
biocide;;lobby
flue_gas_desulfurization;;enforcement_law
nuclear_hydro;;leadership_style
calciner;;local_government
livestock;;moral
recovery_boiler;;animal_welfare
grid_connection;;
utility_system;;
petroleum-based_product;;
rail_port;;
ferroalloy;;
electric_drivetrain;;
cyclone_boiler;;
argon;;
rare_earth;;
woodchip;;
demand_side_management;;
hydrogen_generation;;
beetle_kill;;
burning;;
energy_certificate;;
sulfate;;
domestic_coal;;
recycle_business;;
arc_furnace;;
air_pollution_issue;;
powdered;;
importation;;
lithium_chemical;;
generation_mix;;
fluorescent_lamp;;
petrochemical_complex;;
bituminous;;
petroleum_product;;
disinfect;;
gathering_facility;;
copper_silver;;
site_closure;;
energy_efficient;;
gmo;;
resource_efficiency;;
ghg;;
